id,h,s,v,r,g,b,comp1,comp2,cluster
b34b467d2ddc46ec9617fe7cbea978a7,0.6111111111111113,0.11392405063291135,0.6196078431372549,140,146,158,128.03858305832418,-4.673421777868112,0
b34f20b6e9314a1d817e2656cc27c028,0.06666666666666649,0.06578947368421048,0.2980392156862745,76,73,71,-32.41057804036651,-10.651986339205234,0
b35253d8a2a84973931bf44d028f61a8,0.13888888888888884,0.1451612903225806,0.4862745098039216,124,121,106,61.6390470197717,-29.186110407316853,0
b3580aa890b841d19ac51e2d0f83e91c,0.5,0.040816326530612235,0.19215686274509805,47,49,49,-86.26268626561973,4.334147414680325,3
b35a623dd21449a0917a047135aebc45,0.08333333333333341,0.11428571428571438,0.27450980392156865,70,66,62,-46.98587121502593,-8.401940810956582,0
b35bb0f5791e463286771da5db6a81e9,0.0,0.0,0.19607843137254904,50,50,50,-82.24476476958894,1.99253341650398,1
b36cc835df5e475c96c2cc79cfcdda2f,0.0,0.0,0.16862745098039214,43,43,43,47.24366955355679,115.60813623337346,3
b37939147c854e61857f5b248f9efd29,0.11111111111111124,0.06521739130434775,0.1803921568627451,46,45,43,-94.58647170022482,3.3951805861030078,0
b37faa7ca77a4546a54703b5ed3c5358,0.8055555555555555,0.1714285714285715,0.13725490196078433,34,29,35,-120.07123046040027,15.325020737179852,2
b384b564855547858bb9b29256bf86be,0.08771929824561403,0.10326086956521734,0.7215686274509804,184,175,165,177.96185980652078,-0.7056171995247986,0
b3864cb1bf3d409f8949a1383bc904af,0.5403225806451614,0.29245283018867924,0.8313725490196079,150,197,212,210.56753083741356,33.05594218323869,2
b38e47e47ada4081852557c9ccaf3b71,0.4444444444444444,0.05263157894736848,0.2235294117647059,54,57,56,-68.46547165154948,-0.9195726064678124,3
b391feaf38be410c9829821ecc93a9bc,0.07894736842105264,0.4672131147540984,0.4784313725490196,122,92,65,5.6019790576127,-52.25746407614145,0
b39abb0ea2aa47dc8b903efcd95f7f6a,0.0,0.08695652173913042,0.1803921568627451,46,42,42,-95.29770847544322,5.315345929500525,2
b39add69b95c43df95ef5ba0237e8fac,0.6805555555555555,0.2857142857142857,0.16470588235294115,31,30,42,-117.15879400244141,16.78673580407759,2
b3a4bfb3171e466b8620737ea0107ec1,0.07175925925925923,0.3692307692307692,0.7647058823529411,195,154,123,144.80299995577067,-48.875793866884784,2
b3a58bf17a3e484e92e50ff5e05a98ba,0.9814814814814816,0.36,0.19607843137254904,50,32,34,-109.71456302412321,4.4247288779552925,3
b3af0451e5a44f5d9c3d6be667a8984c,0.5,0.0222222222222223,0.17647058823529413,44,45,45,-95.80846051266857,6.0732647245232885,1
b3c58f072c2a492080d19cfeab275d0b,0.05952380952380953,0.13333333333333328,0.4117647058823529,105,96,91,18.507082021334398,-25.32372862517725,3
b3ca70f3c24f4113ad3f1bb729893d1a,0.08771929824561409,0.1328671328671329,0.5607843137254902,143,134,124,93.90738758410177,-25.57883485478392,3
b3cbc4e283fb4289a7241463b6802cf1,0.08333333333333362,0.05,0.1568627450980392,40,39,38,-106.32792970115213,6.8156431514801765,0
b3cec34d2be44dc0942a128625c0d576,0.2321428571428571,0.16666666666666655,0.6588235294117647,157,168,140,141.44406060638295,-20.179772924810017,1
b3d2d7ba3f4b44a4a4eba8f3ba64b3d5,0.6888888888888888,0.6,0.09803921568627452,12,10,25,-154.6449301732892,29.6062704747082,2
b3de4911be7c43f5a771e160f98bda05,0.04166666666666663,0.12121212121212133,0.12941176470588234,33,30,29,-124.18327496916092,12.249451609983831,1
b3e2f2548d1a4dfc87a58958402abb90,0.3333333333333333,0.022727272727272648,0.17254901960784313,43,44,43,-98.68158513114142,7.445595705586044,3
b3e886ec8be6499394a372b8042dcbcf,0.05263157894736842,0.6785714285714286,0.10980392156862744,28,15,9,-151.6073198274252,20.715800252407977,2
b3fa6043a2904b05965f75fccca90b92,0.5625,0.2253521126760563,0.2784313725490196,55,65,71,-54.87823582986335,-0.15584839713435086,0
b4024ab39dce471385ad44d10da31789,0.10000000000000038,0.024154589371980728,0.8117647058823529,207,205,202,232.95689428458545,32.020342766989074,0
b41131f60a7a48419e9a8ad202d607ef,0.0901639344262295,0.5865384615384615,0.40784313725490207,104,76,43,-27.41087885820991,-41.07685952079748,0
b413e20d5ede4f7f9425a93352a013f2,0.10947712418300656,0.5454545454545454,0.7333333333333333,187,152,85,112.94136451565664,-64.23410033962858,0
b41d572cfbce47328e57ac9df39dbb04,0.1458333333333334,0.08695652173913042,0.7215686274509804,184,182,168,184.55233329704518,3.559588589424412,1
b43304445e23476babd31b3ef69a2918,0.5,0.03636363636363636,0.215686274509804,53,55,55,-70.66124648852937,0.2486672057539123,0
b43e52e1fd424a6a88ff7bf321e58f28,0.0,0.0578034682080926,0.6784313725490196,173,163,163,160.8500518841456,-1.7014474295344293,3
