uid,name,comp1,comp2,cluster,views,likes
0104cfe5ee3f4ed0a7235724b1378c90,Dr Strange,-19.469927299608774,-25.35290188764008,2,2616,44
0109e8bb90be43f09406db314afa0665,Super Smash Bros: Melee fighters,-10.63279632426288,-30.102026738484625,2,4731,56
012a226ffc7d4e2baf28931b30a60855,Cityscene Lisbon,59.01934218895938,-7.930231963945946,0,3681,131
012ae5d60907439d88e5755e67c09f5c,Juggernaut,-32.38750764202089,9.619583444579815,1,2808,67
012e4809a41445ca9de17286f677fabb,Emergency Stop Button,-6.989769548401593,-21.33547203013476,2,2967,57
0131afdd92034a508c5751ab8e81255b,HAPPY HALLOWEEN!!,-25.41273761397657,-21.948536003455857,2,4167,107
0143eac304614f93b7c454fcfd32bc7d,Grendizer Goldrake Goldorak lowpoly PBR Sci-Fi,-19.70839747830857,-2.446444569274236,1,2861,36
0157cbffea384e6fa9d2f31645ad85eb,Metal Panel,53.52804033512524,-14.200660274940974,0,2486,88
015859bb1e7845ff91d1ed99866a24bb,Palacongressi Rimini - Primo piano,34.52810133861915,-22.707965533126227,0,2892,0
017953f371c641ee982beb3f0e8a4d80,Warframe - Ash - Bai Hu,-19.4383607870336,13.372593672618018,1,20144,75
017adf2af3e64d46825a2b7525c82f17,Sendai Kai Ni -Kantai collection 川内改二,-28.50483546083489,-27.56118612276805,2,4404,128
01810314feca4415a33a51dd151eacb3,Great Pyramid of Giza,35.10228695802665,15.125840027232467,0,17901,16
018eac86cdbd4d00867d9bc6429e816b,"King's Christophe Fortress, Haiti",67.31745314715086,-4.907189800561901,0,13948,28
01952032257647dd9c58ac756cf90051,LowPoly Fantasy City,52.62435078662415,-35.318404351462235,0,3142,40
01972a5a702e462d84e26de3f7c500bb,Edinburgh Castle & City Centre 3D,54.25189853002875,6.334952340876675,0,3753,11
019b94f2deef470fa4252f95b02ed640,"Cuween Hill Chambered Tomb, Orkney",73.2355739755434,26.230575482523022,0,6116,79
019bfb2dcc6c4163a1ed46d8903278be,Steve VITRONIC shirt,3.608531890501791,6.990497147622627,1,2242,37
01a67eee68454140aaf9ed47236f837e,Star Wars Chess Set,-22.39641961778982,3.2579582047384554,1,3595,30
01c1193050464db2993b3efed456cd84,Magical Charm,-25.67533673797321,5.512413361347309,1,7799,121
01c5eba1c6e945489b2da1cfe5069f25,High Spec Neet,-30.764305023384903,-18.86251301243336,2,6958,3
01c685b2e98a486981aeb60a89149265,X-12 Mech,-18.58722706354723,-17.51011413361731,2,6652,148
01d1b85ebc464f8f84504afeb97c5c55,MECH MARINE C01,10.875065210274787,-9.624728759401808,2,8444,185
01e1ffd0035447b1a5d6404943571a20,Creature Box Fan Art,-11.249980614146128,1.3456730499957867,1,4470,172
01e54f0c11c241149d6afd3963ec010f,Sorcière,-1.0416240339452103,-14.229027783751064,2,4851,30
01e9cdfcb823443089780675035dccc1,FORTNITE:Astrea,-38.60203370182887,0.051402730282182,1,3740,20
01ed1dce895b443b8d321a66cb303176,Pyra from Xenoblade - VR Chat Avatar,-23.495050549267653,-26.620080877040166,2,6317,44
01f8155cc7104c75895ad7bc318889ba,Crystal Palace Cinema from realityvirtual.co,32.55383227807576,-23.616373650988955,0,14775,554
01fd91d2f42e4a4696f2292242324aba,McDougall Memorial United Church,66.15497810114212,-13.627331519317377,0,2056,3
020027b89fda46588f42ed9ff384950d,Tiger devouring a gavial,7.418859869864469,32.91702778067305,3,7602,430
0215e363a4bb4cb39a3710d72a314aa7,Big Wooden Bridge,19.39679485692109,-25.888404087652667,0,4816,162
021b6dc172d9476d8370fd69c691dec9,God Kiana | Honkai Impact 3,-19.44906786616812,-19.18681675084686,2,19030,101
0222d26c207943da8885cb10ad790ebf,K.A.S Villa,49.04182131442292,-15.570872936859512,0,6732,9
022f006c8ef647818d754195f02cb61f,Hawaiian Tiki 3dscan,0.7562079045667647,29.434273872522954,3,4843,139
023811c71a934b50918aa037045d9d89,Venom,-35.1672411431027,7.439810537256624,1,5254,35
023ac3e2d5cd4e2382495ae0aedc5ac5,Eric The Viking - 28mm - 3D Printable,5.04453501381093,29.72740522901967,3,2329,102
023f894d18364881853f0d88a2872815,SlendyTubbies: White Tubbie,-8.833119486704097,-4.864022875160887,2,7014,23
02459772d97f447b9072f8a9a0ec6be0,Vanellope,-12.773194288406811,-17.732624742834638,2,3017,26
024a00d05a5c46f19bcd09e8217a57cf,Cinnadog,-3.4799811760754764,-24.842780676469268,2,2245,7
024b3f1d804b4dea9da4534ed0add0f4,Yuna (Fan Art),-6.269565882388169,-8.12713789419399,2,3126,128
024c91002bba426fb416cd6aebb9bde7,Wahroonga elementary school,45.43848036788753,-41.43109623180999,0,3175,1
025086d10b644dd6ab4602009723ec3b,Hopping Mad Alchemist: COLOURED,-25.8632363754415,-26.40823920350648,2,3762,153
025ccf5a9068459a81c4ea7d89d04ed4,Elf Narwin,-10.901169354128786,-9.466403176928582,2,20517,607
025eb99a19474c3590cc462cb71ddef7,Steven Universe: Season One Steven!,-8.18702577294823,-30.907704997045503,2,3801,89
0261800f94da402f836a2e91f8be6376,Chandelier,-10.594971677690612,15.890015606318604,1,5546,15
026a65b989184ccb91d1359233a0cfdf,Stone Wall Nr.2,31.49737589023379,7.626498683630172,0,2831,74
026d745f9e8042f99a05ac21c66a20ea,Archer,-27.219805960828417,5.98244241524814,1,22436,815
027173f5759f473b9dfeee724ea0f7f6,Low Poly Human Hands (All Quads),0.996234264776472,15.38910855507211,3,3286,85
02776c346fa34985abd3f6386825a101,Medieval Fantasy Knight,-19.48902248487159,2.9350464115075776,1,2741,51
027900c8fdf840f589cadb9f4a60d78c,The Dalarö wreck/ Bodekull part 2,23.07512344950281,-17.923629906734565,0,5111,28
0285f6b21ed545918511f4ee0fcd40ff,Bronze Moses at Augustana University,11.66405822918597,39.24753946350813,3,9187,376
028c3a96743248a997d88115102f99eb,Hand Fingers Semi Extended,0.8822191307724785,24.69158983253456,3,7380,168
028e62fb0986462fbd3dc2b03096692a,Dungeon Ground Texture,31.13742504978721,2.0469926793699065,0,3997,22
0290ab7364b14b5f8c6ad58826a0ac63,Hope - Crystal Moon,-2.4117698670469747,-11.543900055929209,2,2162,75
02967ecf3220483dae9990bf786e2955,zNEMESIS,-19.90584142198596,16.409935517693295,1,6213,218
02a99eb6a6214c9cabbd321c2ee6ab86,Space Engineers Astronaut,-33.5782725608123,6.559633577808611,1,14023,104
02a9c5a9384a4d12a4cc7c32bd39a9f6,Blue Room - Musée de la Chasse et de la Nature,50.77251678762256,-7.259436135127903,0,2912,98
02b0456362f9442da46d39fb34b3ee5b,Egyptian Cat Statue,-0.3216265067574819,43.89404542372033,3,4719,146
02b0e07ee3204b29a9eda3eec28c7f73,MECH,-12.020747113213735,-20.830851786235627,2,2920,37
02c4e194c6d64a4385a30990ed9899bf,Temple of Bel,48.31916089347191,33.300742017474654,3,66404,237
02caffcfc0a54673a052c995a3f2e62f,Captain Childhood,-11.638567817768422,-25.799596879005414,2,9575,522
02cb23fc038545c48344ecb9bba70499,Brick wall 1,76.3905856902101,31.356405747323187,0,2514,114
02d0f759915b4379adb33be7c08347dd,Rey - Star wars,-32.17233237599415,-21.672621514721268,2,3118,119
02da55e2ae414bf3a422455ed0cc736b,Chinese guardian lion (Foo dog),7.22176344049958,31.517504220126543,3,6461,146
02e3be8cc12c4c84a3ee04854fdb8250,The forgotten temple,14.819390257558226,-45.739197727720295,2,19506,646
02e4195a042a437d8735a37878f58605,Android No.18,-34.191548872285715,-8.243390300740478,1,49283,846
02e9e38a8672461fa8356d110241b1e7,Dragon Portrait,-9.549540062925436,15.494798530507364,1,2417,96
02ee2307a3ff44bfb8af07acc9b13ddf,Daihatsu Landing Craft 01,47.1697164195294,2.461316173915322,0,5047,10
02f3c29ade264dc1aa8868127e80f300,SKYGARD 3700,43.29203591882666,-7.248658083962877,0,3924,1
030207b3ac9b40a09aee1f94191a97e5,Coco Bandicoot,-11.970561976259884,-32.35566848922961,2,11466,149
03024c0ef7f54f379ac21d23a2b800aa,RE: ORC - Lupo,-37.33294459682373,2.401978065012031,1,3451,6
0312d2617da64de3a518aa561277e144,Auckland LIDAR AO,45.71277177481766,3.54992747705931,0,3496,46
031d2c8434eb4f52a55f2a51965f5751,William - 3 days old,-10.53537845093298,21.78699264375776,3,18076,197
032f615e754c4c6896d61feeddca1a65,Canine Group: Red Fox,1.869524615790512,3.64951431622798,1,3339,71
